,id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
594792,bK06A04M,3311964,       (2006 AM4),2006 AM4,,,Y,Y,21.8,,,,49,2459000.5,59000,20200531.0,J2000,0.6492297249970211,0.982208272845096,0.3445294659760752,4.1353239477587875,123.1915838625012,139.7888311716027,196.8478780390209,1.619887079714117,1.012508533764693,2459161.6365401084,20201108.1365401,355.5525588129652,0.973449853012909,0.0112182,4.365786894,9.1046e-08,1.0749e-08,9.0168e-08,1.602e-05,3.2178e-05,3.3899e-05,0.00011966,1.7727e-08,1.6621e-08,0.0001208,5.8365e-06,ATE,0.4729
595476,bK06B39X,3313976,       (2006 BX39),2006 BX39,,,Y,Y,21.4,,,,JPL 20,2453768.5,53768,20060202.0,J2000,0.6373999429093651,1.9030753927486008,0.690055246058425,14.346853293734279,140.43278292959369,79.11969493508587,339.8049515074483,3.1160955394387764,0.3754223148844716,2453822.2928825533,20060327.792882603,958.9200900611957,2.6253801233708303,0.00877544,3.4151379848000003,0.00077919,0.0035970999999999998,0.00017856,0.014469999999999998,0.0011638,0.0063781,0.066125,0.005889800000000001,0.0010644,0.023622,2.7187,APO,0.51135
595543,bK06B55E,3314045,       (2006 BE55),2006 BE55,,,Y,Y,21.9,,,,24,2459000.5,59000,20200531.0,J2000,0.424500182454095,1.195783695714143,0.6881732987078574,2.424925972798342,125.6908509685787,125.94726541706129,279.1237366101011,1.703394092720429,0.7537461945005807,2459107.799066954,20200915.299067,477.61435165656764,1.30763682862852,0.0237045,9.225080265,8.2785e-08,1.4169000000000001e-09,9.8467e-08,7.0971e-06,9.8803e-05,0.00010117,2.8071e-05,2.0184000000000004e-09,1.3397e-09,3.7297e-05,8.489299999999999e-07,APO,0.61539
595904,bK06BE7X,3321569,       (2006 BX147),2006 BX147,,,Y,Y,21.487,,,,JPL 9,2453766.5,53766,20060131.0,J2000,0.678016710861325,0.7871952710953176,0.2534637225816813,11.57714745225008,141.0364831774175,201.6941579241938,82.80768457183555,1.320926819608954,1.41117332702335,2453707.819976089,20051203.319976103,255.10686257042852,0.6984445244912479,0.038105400000000005,14.829478518,0.030026999999999998,0.0049589,0.022044,1.2368,0.27605,0.2416,3.7960000000000003,0.0083211,0.013334,2.1364,2.4105,ATE,0.31361
596732,bK06C00F,3315647,       (2006 CF),2006 CF,,,Y,Y,20.3,,,,32,2459000.5,59000,20200531.0,J2000,0.6787203185370427,2.293371116059545,0.7368135416439575,4.661267609949016,112.0598731773889,268.60085480705743,80.76688059640928,3.849928690475133,0.2837870452271579,2458715.896167814,20190820.3961678,1268.556849421499,3.4731193687104702,0.024525599999999998,9.544627752,5.662999999999999e-08,3.7309e-08,1.4024000000000002e-07,2.2805999999999998e-05,5.6526e-05,5.9282e-05,1.7517000000000002e-05,6.2632e-08,6.9251000000000004e-09,5.4806000000000003e-05,3.0956e-05,APO,0.35085
596737,bK06C00U,3321493,       (2006 CU),2006 CU,,,Y,Y,22.0,,,,21,2459000.5,59000,20200531.0,J2000,0.4536743994858976,1.510191707411067,0.8250563914427689,3.7970272128156664,148.74019706705332,253.2065364156256,298.266637746912,2.195327023379365,0.5310751153536118,2459116.7422423274,20200924.2422423,677.8702100554966,1.85590748817384,0.00886734,3.4509027077999996,4.9294e-07,5.0718e-09,7.4178e-07,2.5665e-05,0.00011479999999999999,0.00010184,3.666e-05,7.3726999999999996e-09,2.6753000000000005e-09,6.849699999999999e-05,3.4148000000000003e-06,APO,0.5334399999999999
596799,bK06C10M,3321628,       (2006 CM10),2006 CM10,,,Y,Y,21.7,,,,JPL 17,2453778.5,53778,20060212.0,J2000,0.7011849814068107,2.1336617595384966,0.6375701783480731,18.314150058018672,143.32050175723668,92.07940655779585,341.3782208265074,3.629753340728922,0.3162392078055718,2453837.385105685,20060411.8851057,1138.378768711478,3.11671120797119,0.0192576,7.494480192,0.00092144,0.0057216,0.00025635,0.02502,0.0032847,0.0025459,0.083259,0.009733499999999999,0.0012720000000000001,0.026418999999999998,4.579,APO,0.57891
596801,bK06C10T,3321667,       (2006 CT10),2006 CT10,,,Y,Y,21.2,,,,17,2459000.5,59000,20200531.0,J2000,0.66317090055862,2.887591964375128,0.9726250009146395,12.904368579951859,111.2107300847385,30.502974871281985,328.3609102859243,4.802558927835617,0.2008631813892884,2459158.015625787,20201104.5156258,1792.2647521065198,4.90695346230396,0.03420580000000001,13.311871186,7.0439e-08,2.2338e-07,1.8897000000000003e-07,3.1187e-05,0.00029912,0.00027085,0.00012626,3.7153e-07,2.3308e-08,0.00064677,0.00020797,APO,0.57386
597457,bK06D62U,3324630,       (2006 DU62),2006 DU62,,,Y,Y,18.0,,,,39,2459000.5,59000,20200531.0,J2000,0.7381283971470011,1.6402335977829607,0.4295306013047653,16.44978018495748,322.12243347221914,71.83338989172245,330.76942426697036,2.850936594261157,0.4691865118970457,2459062.800545715,20200801.3005457,767.2854842830507,2.10071316709939,0.00517877,2.0154219209,1.947e-07,4.2015e-08,3.1521000000000003e-07,2.2186e-05,1.4523e-05,3.3166e-05,8.2845e-05,7.3027e-08,1.8027e-08,0.00017896,2.9480999999999998e-05,APO,0.48432
598913,bK06G00B,3329278,       (2006 GB),2006 GB,,,Y,Y,20.3,,,,JPL 45,2459000.5,59000,20200531.0,J2000,0.1792568365660231,0.9588023670744716,0.7869304878606869,10.06278927475886,183.8137052703183,242.87118287528716,128.64765953361342,1.130674246288256,1.0498093285937031,2458877.956166534,20200129.456166502,342.91941421614763,0.9388621881345591,0.00981092,3.8181157364,1.326e-07,1.2465e-08,1.3407e-07,1.1497999999999999e-05,2.8372e-05,3.0132e-05,0.00010838,1.4699e-08,2.0471e-08,0.00010101,6.6870000000000005e-06,ATE,0.48403
