,name,id,nametype,recclass,massg,fall,date,reclat,reclong,GeoLocation,mass,masslog,year,place,region,country
1460,Agua Blanca,397,Valid,"Iron, IIIAB",49000.0,Found,01/01/1938 12:00:00 AM,-28.91667,-66.95,"(-28.916670, -66.950000)",49.0,50.0,1938,Aminga,La Rioja,Argentina
1461,Aguas Calientes,399,Valid,H,260.1,Found,01/01/1971 12:00:00 AM,-25.5,-68.4,"(-25.500000, -68.400000)",0.2601,1.2601,1971,Antofagasta de la Sierra,Catamarca,Argentina
1471,Aguemour 010,409,Valid,H5,367.0,Found,01/01/1993 12:00:00 AM,27.360559999999996,4.944719999999999,"(27.360560, 4.944720)",0.367,1.367,1993,I-n-Salah,Tamanghasset,Algeria
1479,Ahumada,419,Valid,"Pallasite, PMG",52600.0,Found,01/01/1909 12:00:00 AM,30.7,-105.5,"(30.700000, -105.500000)",52.6,53.6,1909,Sierra Blanca,Texas,United States
1480,Aiken,421,Valid,OC,956.0,Found,01/01/1936 12:00:00 AM,34.2,-101.5,"(34.200000, -101.500000)",0.956,1.956,1936,Lockney,Texas,United States
1481,Ainsworth,422,Valid,"Iron, IIAB",80650.0,Found,01/01/1907 12:00:00 AM,42.6,-99.8,"(42.600000, -99.800000)",80.65,81.65,1907,Ainsworth,Nebraska,United States
1482,Akhricha,428,Valid,H,1760.0,Found,01/01/1968 12:00:00 AM,28.4625,1.025,"(28.462500, 1.025000)",1.76,2.76,1968,Timimoun,Adrar,Algeria
1483,Akmolla,429,Valid,H4,114.0,Found,01/01/1988 12:00:00 AM,39.53833,59.558330000000005,"(39.538330, 59.558330)",0.114,1.114,1988,Annau,Ahal,Turkmenistan
1484,Akron (1940),430,Valid,H6,1050.0,Found,01/01/1940 12:00:00 AM,40.15,-103.16667,"(40.150000, -103.166670)",1.05,2.05,1940,Akron,Colorado,United States
1485,Akron (1961),431,Valid,L6,4000.0,Found,01/01/1961 12:00:00 AM,40.15,-103.16667,"(40.150000, -103.166670)",4.0,5.0,1961,Akron,Colorado,United States
1486,Al Alamayn,35484,Valid,H5,13.31,Found,01/01/2005 12:00:00 AM,30.70952,28.9698,"(30.709520, 28.969800)",0.01331,1.01331,2005,Al `Alamayn,Muhafazat Matruh,Egypt
1487,Al Haggounia 001,44857,Valid,Aubrite,3000000.0,Found,01/01/2006 12:00:00 AM,27.5,-12.5,"(27.500000, -12.500000)",3000.0,3001.0,2006,Tarfaya,Laayoune-Boujdour-Sakia El Hamra,Morocco
1488,Al Huqf 001,434,Valid,L4,41.5,Found,01/01/2000 12:00:00 AM,19.42,57.18833000000001,"(19.420000, 57.188330)",0.0415,1.0415,2000,Hayma',Al Wusta,Oman
1490,Al Huqf 003,436,Valid,L4,115.42,Found,01/01/2002 12:00:00 AM,19.50695,57.119519999999994,"(19.506950, 57.119520)",0.11542,1.11542,2002,Hayma',Al Wusta,Oman
1499,Al Huqf 012,445,Valid,L6,402.75,Found,01/01/2003 12:00:00 AM,19.80252,57.321369999999995,"(19.802520, 57.321370)",0.40275,1.40275,2003,Hayma',Al Wusta,Oman
1501,Al Huqf 052,45822,Valid,H~5,1319.4,Found,01/01/2001 12:00:00 AM,19.65675,57.0433,"(19.656750, 57.043300)",1.3194000000000001,2.3194,2001,Hayma',Al Wusta,Oman
1511,Al Huqf 063,45832,Valid,L6,591.8,Found,01/01/2006 12:00:00 AM,19.44533,57.02345,"(19.445330, 57.023450)",0.5918,1.5918,2006,Hayma',Al Wusta,Oman
1513,Al Huqf 065,48537,Valid,L6,2084.16,Found,01/01/2007 12:00:00 AM,19.32092,57.229769999999995,"(19.320920, 57.229770)",2.08416,3.08416,2007,Hayma',Al Wusta,Oman
1515,Al Huqf 067,51921,Valid,H4,61.6,Found,01/01/2009 12:00:00 AM,19.22597,57.54063000000001,"(19.225970, 57.540630)",0.0616,1.0616,2009,Hayma',Al Wusta,Oman
1519,Al Huwaysah 001,55403,Valid,LL6,3150.5,Found,01/01/2009 12:00:00 AM,22.80487,55.32742,"(22.804870, 55.327420)",3.1505,4.1505,2009,`Ibri,Az Zahirah,Oman
